date,district,region,estate_name,address,block_name,floor,flat,saleable_area_sqm,price_hkd,price_per_sqft_hkd,transaction_type,year,month,quarter
2024-01-01,Southern,Hong Kong Island,METROPOLIS PARK,"189 Des Voeux Court, Southern",BLOCK D,7,24,71.8,5978400.0,83264.0,Resale,2024,1,1
2024-01-01,Tuen Mun,New Territories & Outlying Islands,CRYSTAL HOUSE,"184 Hennessy Path, Tuen Mun",BLOCK B,25,38,26.8,1870800.0,69807.0,Resale,2024,1,1
2024-01-01,Sai Kung,New Territories & Outlying Islands,ROSE COURT,"85 Queen Street, Sai Kung",BLOCK F,38,33,65.7,3223700.0,49067.0,Resale,2024,1,1
2024-01-01,Wan Chai,Hong Kong Island,HARBOUR VIEW,"166 Nathan Lane, Wan Chai",BLOCK B,28,17,43.4,4710300.0,108533.0,New Sale,2024,1,1
2024-01-01,Kwai Tsing,New Territories & Outlying Islands,TULIP COURT,"110 Nathan Lane, Kwai Tsing",BLOCK D,5,40,67.4,5530200.0,82050.0,Resale,2024,1,1
2024-01-01,Islands,New Territories & Outlying Islands,CRYSTAL HOUSE,"7 Queen Lane, Islands",BLOCK E,27,2,70.3,3332600.0,47405.0,Resale,2024,1,1
2024-01-01,Islands,New Territories & Outlying Islands,SUNSHINE COURT,"57 Prince Avenue, Islands",BLOCK B,23,30,45.4,2431300.0,53552.0,Resale,2024,1,1
2024-01-01,Yau Tsim Mong,Kowloon,JASMINE TERRACE,"101 Hennessy Gardens, Yau Tsim Mong",BLOCK B,28,32,49.9,4424100.0,88660.0,Resale,2024,1,1
2024-01-01,Kwai Tsing,New Territories & Outlying Islands,SKY TOWER,"43 Prince Street, Kwai Tsing",BLOCK A,8,1,35.2,1506600.0,42802.0,Resale,2024,1,1
2024-01-01,Yuen Long,New Territories & Outlying Islands,MAGNOLIA PLACE,"165 Prince Street, Yuen Long",BLOCK E,34,37,59.0,4136500.0,70110.0,Resale,2024,1,1
2024-01-01,Sham Shui Po,Kowloon,SAPPHIRE TOWER,"200 Queen Path, Sham Shui Po",BLOCK C,40,36,42.8,2943500.0,68773.0,Resale,2024,1,1
2024-01-02,Islands,New Territories & Outlying Islands,SAPPHIRE TOWER,"54 King Court, Islands",BLOCK A,38,33,78.3,6893100.0,88034.0,Resale,2024,1,1
2024-01-02,Central & Western,Hong Kong Island,MAGNOLIA PLACE,"114 Hennessy Road, Central & Western",BLOCK B,26,21,33.7,3036700.0,90111.0,Resale,2024,1,1
2024-01-02,Tsuen Wan,New Territories & Outlying Islands,EMERALD PLAZA,"68 Nathan Path, Tsuen Wan",BLOCK D,23,15,28.7,2537300.0,88408.0,New Sale,2024,1,1
2024-01-02,Southern,Hong Kong Island,ROSE COURT,"48 Victoria Lane, Southern",BLOCK D,5,30,75.7,6336600.0,83707.0,Resale,2024,1,1
2024-01-02,Southern,Hong Kong Island,LILY MANSION,"160 Canton Avenue, Southern",BLOCK F,16,20,74.9,7004600.0,93520.0,Resale,2024,1,1
2024-01-02,Tai Po,New Territories & Outlying Islands,SUNSHINE COURT,"116 Hennessy Road, Tai Po",BLOCK E,32,8,36.0,2086400.0,57956.0,Resale,2024,1,1
2024-01-02,Tsuen Wan,New Territories & Outlying Islands,JASMINE TERRACE,"12 Nathan Court, Tsuen Wan",BLOCK A,32,22,35.5,2697000.0,75971.0,New Sale,2024,1,1
2024-01-02,Yau Tsim Mong,Kowloon,DIAMOND HILL,"83 Victoria Gardens, Yau Tsim Mong",BLOCK A,4,13,38.2,2465600.0,64545.0,New Sale,2024,1,1
2024-01-02,Southern,Hong Kong Island,PEARL COURT,"177 Hennessy Drive, Southern",BLOCK B,26,22,59.2,5779400.0,97625.0,New Sale,2024,1,1
2024-01-02,North,New Territories & Outlying Islands,HARBOUR VIEW,"71 Princess Avenue, North",BLOCK D,2,40,36.0,2327800.0,64662.0,New Sale,2024,1,1
2024-01-02,Kwai Tsing,New Territories & Outlying Islands,JADE GARDEN,"175 Hennessy Road, Kwai Tsing",BLOCK D,12,16,45.3,3347000.0,73885.0,Resale,2024,1,1
2024-01-02,Tsuen Wan,New Territories & Outlying Islands,JASMINE TERRACE,"63 King Drive, Tsuen Wan",BLOCK C,9,32,62.2,4270700.0,68660.0,Resale,2024,1,1
2024-01-03,Tuen Mun,New Territories & Outlying Islands,HARBOUR VIEW,"134 Prince Gardens, Tuen Mun",BLOCK D,3,13,56.1,2341600.0,41740.0,Resale,2024,1,1
2024-01-03,Sai Kung,New Territories & Outlying Islands,EMERALD PLAZA,"23 Des Voeux Gardens, Sai Kung",BLOCK C,32,11,33.8,1855700.0,54902.0,New Sale,2024,1,1
2024-01-03,Eastern,Hong Kong Island,METROPOLIS PARK,"82 Lockhart Road, Eastern",BLOCK B,1,14,60.1,4854500.0,80773.0,Resale,2024,1,1
2024-01-03,Southern,Hong Kong Island,ROSE COURT,"191 Victoria Path, Southern",BLOCK B,29,23,67.1,5104100.0,76067.0,New Sale,2024,1,1
2024-01-03,Eastern,Hong Kong Island,HARBOUR VIEW,"131 Des Voeux Court, Eastern",BLOCK A,32,21,70.6,5931700.0,84019.0,New Sale,2024,1,1
2024-01-03,North,New Territories & Outlying Islands,LILY MANSION,"171 Princess Avenue, North",BLOCK B,4,20,51.8,2876600.0,55532.0,Resale,2024,1,1
2024-01-03,Tai Po,New Territories & Outlying Islands,SUNSHINE COURT,"188 Princess Street, Tai Po",BLOCK C,11,22,45.5,2243700.0,49313.0,Resale,2024,1,1
2024-01-03,Sai Kung,New Territories & Outlying Islands,SAPPHIRE TOWER,"35 Princess Court, Sai Kung",BLOCK E,29,15,26.8,1446600.0,53977.0,Resale,2024,1,1
2024-01-04,Yau Tsim Mong,Kowloon,EMERALD PLAZA,"162 Canton Road, Yau Tsim Mong",BLOCK E,19,1,41.7,3758300.0,90127.0,Resale,2024,1,1
2024-01-04,Central & Western,Hong Kong Island,ROSE COURT,"121 Lockhart Road, Central & Western",BLOCK C,25,37,46.5,4442200.0,95532.0,Resale,2024,1,1
2024-01-04,Wan Chai,Hong Kong Island,GOLDEN HEIGHTS,"111 Victoria Lane, Wan Chai",BLOCK E,17,4,67.3,6643600.0,98716.0,Resale,2024,1,1
2024-01-04,Yau Tsim Mong,Kowloon,LAGUNA CITY,"173 Victoria Court, Yau Tsim Mong",BLOCK A,33,7,78.9,4673600.0,59235.0,Resale,2024,1,1
2024-01-04,Central & Western,Hong Kong Island,METROPOLIS PARK,"39 Queen Gardens, Central & Western",BLOCK A,38,4,30.8,2141700.0,69536.0,Resale,2024,1,1
2024-01-04,Central & Western,Hong Kong Island,EMERALD PLAZA,"170 Lockhart Path, Central & Western",BLOCK B,12,11,37.5,2867300.0,76461.0,Resale,2024,1,1
2024-01-04,Kowloon City,Kowloon,ORCHID GARDEN,"154 Victoria Path, Kowloon City",BLOCK A,3,25,61.2,4136300.0,67587.0,Resale,2024,1,1
2024-01-04,Sai Kung,New Territories & Outlying Islands,SKY TOWER,"111 Nathan Avenue, Sai Kung",BLOCK F,37,14,58.5,3593500.0,61427.0,Resale,2024,1,1
2024-01-04,Eastern,Hong Kong Island,LILY MANSION,"20 Queen Road, Eastern",BLOCK E,38,26,67.3,5612100.0,83389.0,Resale,2024,1,1
2024-01-04,Yuen Long,New Territories & Outlying Islands,SUNFLOWER HEIGHTS,"68 Lockhart Path, Yuen Long",BLOCK A,33,39,59.4,3696600.0,62232.0,Resale,2024,1,1
2024-01-04,Wong Tai Sin,Kowloon,METROPOLIS PARK,"145 Queen Avenue, Wong Tai Sin",BLOCK E,10,9,63.2,4029700.0,63761.0,Resale,2024,1,1
2024-01-04,Southern,Hong Kong Island,CRYSTAL HOUSE,"127 Des Voeux Gardens, Southern",BLOCK B,34,35,69.6,5243400.0,75336.0,Resale,2024,1,1
2024-01-05,Sha Tin,New Territories & Outlying Islands,SKY TOWER,"17 King Gardens, Sha Tin",BLOCK E,35,21,57.6,3227400.0,56031.0,Resale,2024,1,1
2024-01-05,Southern,Hong Kong Island,SKY TOWER,"139 Canton Road, Southern",BLOCK F,33,31,73.7,5970700.0,81014.0,New Sale,2024,1,1
2024-01-05,Sai Kung,New Territories & Outlying Islands,LAGUNA CITY,"158 Victoria Path, Sai Kung",BLOCK A,13,23,72.9,2912600.0,39954.0,Resale,2024,1,1
2024-01-05,Sham Shui Po,Kowloon,JASMINE TERRACE,"36 Des Voeux Court, Sham Shui Po",BLOCK C,10,14,37.0,3335000.0,90135.0,Resale,2024,1,1
2024-01-05,Wong Tai Sin,Kowloon,PEARL COURT,"196 Lockhart Path, Wong Tai Sin",BLOCK B,9,36,64.4,3724300.0,57830.0,Resale,2024,1,1
2024-01-05,Southern,Hong Kong Island,SUNFLOWER HEIGHTS,"50 King Lane, Southern",BLOCK E,11,35,55.8,3632800.0,65104.0,Resale,2024,1,1
2024-01-05,Kwai Tsing,New Territories & Outlying Islands,JASMINE TERRACE,"169 Nathan Drive, Kwai Tsing",BLOCK E,8,21,50.8,4298800.0,84623.0,Resale,2024,1,1
2024-01-05,Tai Po,New Territories & Outlying Islands,JADE GARDEN,"104 Hennessy Gardens, Tai Po",BLOCK D,35,3,66.1,2379900.0,36005.0,Resale,2024,1,1
2024-01-05,Sai Kung,New Territories & Outlying Islands,LOTUS TOWER,"129 Queen Avenue, Sai Kung",BLOCK B,3,38,70.5,3003800.0,42607.0,Resale,2024,1,1
2024-01-05,Kwai Tsing,New Territories & Outlying Islands,OCEAN FRONT,"185 Prince Gardens, Kwai Tsing",BLOCK E,19,21,79.2,4591100.0,57968.0,Resale,2024,1,1
2024-01-05,Yau Tsim Mong,Kowloon,OCEAN FRONT,"192 Lockhart Street, Yau Tsim Mong",BLOCK B,39,19,38.1,3421000.0,89790.0,Resale,2024,1,1
2024-01-05,Islands,New Territories & Outlying Islands,LILY MANSION,"32 Queen Court, Islands",BLOCK F,36,25,79.6,3273200.0,41120.0,Resale,2024,1,1
2024-01-05,Sham Shui Po,Kowloon,SKY TOWER,"83 Victoria Drive, Sham Shui Po",BLOCK F,14,28,27.6,1484500.0,53785.0,Resale,2024,1,1
2024-01-05,Southern,Hong Kong Island,HARBOUR VIEW,"137 Lockhart Path, Southern",BLOCK D,15,37,25.9,2608200.0,100702.0,Resale,2024,1,1
2024-01-05,Kwai Tsing,New Territories & Outlying Islands,EMERALD PLAZA,"60 Hennessy Street, Kwai Tsing",BLOCK A,2,23,25.4,1224700.0,48216.0,Resale,2024,1,1
2024-01-05,Islands,New Territories & Outlying Islands,SAPPHIRE TOWER,"116 Nathan Path, Islands",BLOCK C,33,19,27.1,2236800.0,82537.0,Resale,2024,1,1
2024-01-05,Islands,New Territories & Outlying Islands,METROPOLIS PARK,"61 Lockhart Path, Islands",BLOCK F,24,17,35.9,1565300.0,43601.0,Resale,2024,1,1
2024-01-05,Kowloon City,Kowloon,THE VICTORIA,"4 Hennessy Path, Kowloon City",BLOCK D,26,27,76.7,5590300.0,72885.0,Resale,2024,1,1
2024-01-05,Tuen Mun,New Territories & Outlying Islands,PEAK RESIDENCE,"67 Princess Street, Tuen Mun",BLOCK D,19,6,68.5,4569300.0,66705.0,Resale,2024,1,1
2024-01-06,Sai Kung,New Territories & Outlying Islands,METROPOLIS PARK,"159 Victoria Drive, Sai Kung",BLOCK A,27,9,52.7,2420500.0,45930.0,New Sale,2024,1,1
2024-01-06,Sha Tin,New Territories & Outlying Islands,METROPOLIS PARK,"182 King Drive, Sha Tin",BLOCK B,39,3,28.7,1827300.0,63669.0,Resale,2024,1,1
2024-01-06,Sha Tin,New Territories & Outlying Islands,RIVERSIDE PALACE,"65 Nathan Lane, Sha Tin",BLOCK B,19,31,70.8,3357600.0,47424.0,Resale,2024,1,1
2024-01-06,Southern,Hong Kong Island,EMERALD PLAZA,"70 Nathan Road, Southern",BLOCK E,25,10,73.2,7710600.0,105336.0,Resale,2024,1,1
2024-01-06,Sha Tin,New Territories & Outlying Islands,EMERALD PLAZA,"91 Princess Avenue, Sha Tin",BLOCK D,39,1,56.8,3320600.0,58462.0,Resale,2024,1,1
2024-01-06,Kwun Tong,Kowloon,SKY TOWER,"24 Prince Street, Kwun Tong",BLOCK B,23,24,76.8,5241500.0,68249.0,Resale,2024,1,1
2024-01-07,North,New Territories & Outlying Islands,LAGUNA CITY,"6 Canton Street, North",BLOCK C,36,20,69.5,4109400.0,59128.0,Resale,2024,1,1
2024-01-07,Sai Kung,New Territories & Outlying Islands,PEAK RESIDENCE,"188 Prince Drive, Sai Kung",BLOCK A,26,25,26.6,1716000.0,64512.0,Resale,2024,1,1
2024-01-07,Sham Shui Po,Kowloon,PEAK RESIDENCE,"140 Prince Court, Sham Shui Po",BLOCK C,32,34,75.1,4660300.0,62055.0,Resale,2024,1,1
2024-01-07,Islands,New Territories & Outlying Islands,TULIP COURT,"41 Canton Drive, Islands",BLOCK D,17,5,57.3,2505300.0,43723.0,Resale,2024,1,1
2024-01-07,Eastern,Hong Kong Island,SUNFLOWER HEIGHTS,"148 Des Voeux Drive, Eastern",BLOCK F,7,2,33.1,2867600.0,86634.0,New Sale,2024,1,1
2024-01-07,North,New Territories & Outlying Islands,PEARL COURT,"109 King Court, North",BLOCK E,38,25,54.9,3208200.0,58438.0,Resale,2024,1,1
2024-01-07,Central & Western,Hong Kong Island,SAPPHIRE TOWER,"26 Victoria Avenue, Central & Western",BLOCK B,26,2,38.4,3969300.0,103366.0,Resale,2024,1,1
2024-01-07,Sha Tin,New Territories & Outlying Islands,GOLDEN HEIGHTS,"47 Des Voeux Path, Sha Tin",BLOCK D,5,18,53.8,2627800.0,48844.0,Resale,2024,1,1
2024-01-07,Kwai Tsing,New Territories & Outlying Islands,DIAMOND HILL,"56 Nathan Drive, Kwai Tsing",BLOCK C,38,11,63.7,4698600.0,73762.0,Resale,2024,1,1
